event,UID,authors,emails,title,keywords,abstract,DOI
pldi,pldi.149,Guixin Ye|Zhanyong Tang|Shin Hwei Tan|Songfang Huang|Dingyi Fang|Xiaoyang Sun|Lizhong Bian|Haibo Wang|Zheng Wang,,Automated Conformance Testing for JavaScript Engines via Deep Compiler Fuzzing,JavaScript|Conformance bugs|Compiler fuzzing|Differential testing|Deep learning,"JavaScript (JS) is a popular, platform-independent programming language. To ensure the interoperability of JS programs across different platforms, the implementation of a JS engine should conform to the ECMAScript standard. However, doing so is challenging as there are many subtle definitions of API behaviors, and the definitions keep evolving.  We present COMFORT, a new compiler fuzzing framework for detecting JS engine bugs and behaviors that deviate from the ECMAScript standard. COMFORT leverages the recent advance in deep learning-based language models to automatically generate JS test code. As a departure from prior fuzzers, COMFORT utilizes the well-structured ECMAScript specifications to automatically generate test data along with the test programs to expose bugs that could be overlooked by the developers or manually written test cases. COMFORT then applies differential testing methodologies on the generated test cases to expose standard conformance bugs. We apply COMFORT to ten mainstream JS engines. In 200 hours of automated concurrent testing runs, we discover bugs in all tested JS engines. We had identified 158 unique JS engine bugs, of which 129 have been verified, and 115 have already been fixed by the developers. Furthermore, 21 of the COMFORT-generated test cases have been added to Test262, the official ECMAScript conformance test suite.",10.1145/3453483.3454054
pldi,pldi.155,Yurii Kostyukov|Dmitry Mordvinov|Grigory Fedyukovich,,Beyond the Elementary Representations of Program Invariants over Algebraic Data Types,invariants|first-order definability|tree automata|finite models|invariant representation|algebraic data types,"First-order logic is a natural way of expressing properties of computation. It is traditionally used in various program logics for expressing the correctness properties and certificates. Although such representations are expressive for some theories, they fail to express many interesting properties of algebraic data types (ADTs). In this paper, we explore three different approaches to represent program invariants of ADT-manipulating programs: tree automata, and first-order formulas with or without size constraints. We compare the expressive power of these representations and prove the negative definability of both first-order representations using the pumping lemmas. We present an approach to automatically infer program invariants of ADT-manipulating programs by a reduction to a finite model finder. The implementation called RInGen has been evaluated against state-of-the-art invariant synthesizers and has been experimentally shown to be competitive. In particular, program invariants represented by automata are capable of expressing more complex properties of computation and their automatic construction is often less expensive.",10.1145/3453483.3454055
pldi,pldi.156,Gregory Bonaert|Dimitar I. Dimitrov|Maximilian Baader|Martin Vechev,,Fast and Precise Certification of Transformers,Abstract Interpretation|Robustness Certification|Deep Learning|Adversarial attacks|Transformer Networks,"We present DeepT, a novel method for certifying Transformer networks based on abstract interpretation. The key idea behind DeepT is our new Multi-norm Zonotope abstract domain, an extension of the classical Zonotope designed to handle $ell^1$ and $ell^2$-norm bound perturbations. We introduce all Multi-norm Zonotope abstract transformers necessary to handle these complex networks, including the challenging softmax function and dot product. Our evaluation shows that DeepT can certify average robustness radii that are $28times$ larger than the state-of-the-art, while scaling favorably. Further, for the first time, we certify Transformers against synonym attacks on long sequences of words, where each word can be replaced by any synonym. DeepT achieves a high certification success rate on sequences of words where enumeration-based verification would take 2 to 3 orders of magnitude more time.",10.1145/3453483.3454056
pldi,pldi.165,Benoît Montagu|Thomas Jensen,,Trace-Based Control-Flow Analysis,lambda-calculus|control flow analysis|program traces|abstract interpretation|widening,"We define a small-step semantics for the untyped $lambda$-calculus, that traces the $beta$-reductions that occur during evaluation. By abstracting the computation traces, we reconstruct $k$-CFA using abstract interpretation, and justify constraint-based $k$-CFA in a semantic way. The abstract interpretation of the trace semantics also paves the way for introducing widening operators in CFA that go beyond existing analyses, that are all based on exploring a finite state space. We define $nabla$CFA, a widening-based analysis that limits the cycles in call stacks, and can achieve better precision than $k$-CFA at a similar cost.",10.1145/3453483.3454057
pldi,pldi.166,Guillaume Baudart|Javier Burroni|Martin Hirzel|Louis Mandel|Avraham Shinnar,,Compiling Stan to Generative Probabilistic Languages and Extension to Deep Probabilistic Programming,Probabilistic programming|Semantics|Stan|Pyro,"Stan is a probabilistic programming language that is popular in the statistics community, with a high-level syntax for expressing probabilistic models. Stan differs by nature from generative probabilistic programming languages like Church, Anglican, or Pyro. This paper presents a comprehensive compilation scheme to compile any Stan model to a generative language and proves its correctness. We use our compilation scheme to build two new backends for the Stanc3 compiler targeting Pyro and NumPyro. Experimental results show that the NumPyro backend yields a 2.3x speedup compared to Stan in geometric mean over 26 benchmarks. Building on Pyro we extend Stan with support for explicit variational inference guides and deep probabilistic models. That way, users familiar with Stan get access to new features without having to learn a fundamentally new language.",10.1145/3453483.3454058
pldi,pldi.174,Cyrus Omar|David Moon|Andrew Blinn|Ian Voysey|Nick Collins|Ravi Chugh,,Filling Typed Holes with Live GUIs,live programming|macros|typed holes|GUIs,"Text editing is powerful, but  some types of expressions are more naturally represented and manipulated  graphically.  Examples include expressions that compute  colors,  music,  animations,  tabular data,  plots,  diagrams,  and other domain-specific data structures.  This paper introduces emph{live literals}, or emph{livelits},  which allow  clients to fill holes of types like these   by directly manipulating a   user-defined GUI embedded persistently into code.  Uniquely, livelits are emph{compositional}: a livelit GUI can itself embed  spliced expressions, which are typed, lexically scoped, and can in turn embed  other livelits.  Livelits are also uniquely emph{live}:  a livelit can provide {continuous feedback} about the run-time implications  of the client&#39;s choices  even when splices mention bound variables,  because the system continuously gathers closures associated with the  hole that the livelit is filling.  We integrate livelits into Hazel,  a live hole-driven programming environment,  and describe case studies that exercise these novel capabilities.  We then define a simply typed livelit calculus, which  specifies how livelits operate as  live graphical macros.   The metatheory of macro expansion has been mechanized in Agda.",10.1145/3453483.3454059
pldi,pldi.180,Daniel Anderson|Guy E. Blelloch|Yuanhao Wei,,Concurrent Deferred Reference Counting with Constant-Time Overhead,automatic memory reclamation|concurrent algorithms|wait-free,"We present a safe automatic memory reclamation approach for concurrent programs, and show that it is both theoretically and practically efficient. Our approach combines ideas from referencing counting and hazard pointers in a novel way to implement concurrent reference counting with wait-free, constant-time overhead. It overcomes the limitations of previous approaches by significantly reducing modifications to, and hence contention on, the reference counts. Furthermore, it is safer and easier to use than manual approaches Our technique involves deferring the reference-count decrements until no other process can be incrementing them, and deferring or eliding reference-count increments for short-lived references. This is supported by a novel generalization of hazard pointers. We have implemented the approach as a C++ library and compared it experimentally to several other methods including existing atomic reference-counting libraries, and state-of-the-art manual techniques. Our results indicate that our technique is faster than existing reference-counting implementations, and competitive with manual memory reclamation techniques. More importantly, it is significantly safer than manual techniques since objects are reclaimed automatically.",10.1145/3453483.3454060
pldi,pldi.203,Nengkun Yu|Jens Palsberg,,Quantum Abstract Interpretation,quantum programming|scalability|abstract interpretation,"In quantum computing, the basic unit of information is a qubit. Simulation of a general quantum program takes exponential time in the number of qubits, which makes simulation infeasible beyond 50 qubits on current supercomputers. So, for the understanding of larger programs, we turn to static techniques. In this paper, we present an abstract interpretation of quantum programs and we use it to automatically verify assertions in polynomial time. Our key insight is to let an abstract state be a tuple of projections. For such domains, we present abstraction and concretization functions that form a Galois connection and we use them to define abstract operations. Our experiments on a laptop have verified assertions about the Bernstein-Vazirani, GHZ, and Grover benchmarks with 300 qubits.",10.1145/3453483.3454061
pldi,pldi.227,Di Wang|Jan Hoffmann|Thomas Reps,,Central Moment Analysis for Cost Accumulators in Probabilistic Programs,Probabilistic programs|central moments|cost analysis|tail bounds,"For probabilistic programs, it is usually not possible to automatically derive exact information about their properties, such as the distribution of states at a given program point. Instead, one can attempt to derive approximations, such as upper bounds on emph{tail probabilities}. Such bounds can be obtained via concentration inequalities, which rely on the emph{moments} of a distribution, such as the expectation (the first emph{raw} moment) or the variance (the second emph{central} moment). Tail bounds obtained using central moments are often tighter than the ones obtained using raw moments, but automatically analyzing central moments is more challenging.  This paper presents an analysis for probabilistic programs that automatically derives symbolic upper and lower bounds on variances, as well as higher central moments, of emph{cost accumulators}. To overcome the challenges of higher-moment analysis, it generalizes analyses for expectations with an algebraic abstraction that simultaneously analyzes different moments, utilizing relations between them. A key innovation is the notion of emph{moment-polymorphic recursion}, and a practical derivation system that handles recursive functions.  The analysis has been implemented using a template-based technique that reduces the inference of polynomial bounds to linear programming. Experiments with our prototype central-moment analyzer show that, despite the analyzer&#39;s upper/lower bounds on various quantities, it obtains tighter tail bounds than an existing system that uses only raw moments, such as expectations.",10.1145/3453483.3454062
pldi,pldi.228,Shankara Pailoor|Yuepeng Wang|Xinyu Wang|Isil Dillig,,Synthesizing Data Structure Refinements from Integrity Constraints,Programming Languages|Program Synthesis|Data structure refinement,"Implementations of many data structures use several correlated fields to improve their performance; however, inconsistencies between these fields can be a source of serious program errors. To address this problem, we propose a new technique for automatically refining data structures from integrity constraints. In particular, consider a data structure $D$ with fields $F$ and methods $M$, as well as a new set of auxiliary fields $F&#39;$ that should be added to $D$. Given this input and an integrity constraint $Phi$ relating $F$ and $F&#39;$, our method automatically generates a refinement of $D$ that satisfies the provided integrity constraint. Our method is based on a emph{modular} instantiation of the CEGIS paradigm and uses a novel inductive synthesizer that augments top-down search with three key ideas. First, it computes emph{necessary preconditions} of partial programs to dramatically prune its search space. Second, it augments the grammar with promising new productions by leveraging the computed preconditions. Third, it guides top-down search using a emph{probabilistic} context-free grammar obtained by statically analyzing the integrity checking function and the original code base. We evaluated our method on 25 data structures from popular Java projects and show that our method can successfully refine 23 of them. We also compare our method against two state-of-the-art synthesis tools and perform an ablation study to justify our design choices. Our evaluation shows that (1) our method is successful at refining many data structure implementations in the wild, (2) it advances the state-of-the-art in synthesis, and (3) our proposed ideas are crucial for making this technique practical.",10.1145/3453483.3454063
pldi,pldi.243,Matthew Sotoudeh|Aditya V. Thakur,,Provable Repair of Deep Neural Networks,Deep Neural Networks|Repair|Bug fixing,"Deep Neural Networks (DNNs) have grown in popularity over the past decade  and are now being used in safety-critical domains such as aircraft collision  avoidance. This has motivated a large number of techniques for finding  unsafe behavior in DNNs. In contrast, this paper tackles the problem of  correcting a DNN once unsafe behavior is found. We introduce the  provable repair problem, which is the problem of repairing a network  $N$ to construct a new network $N&#39;$ that satisfies a given specification. If  the safety specification is over a finite set of points, our Provable Point  Repair algorithm can find a provably minimal repair satisfying the  specification, regardless of the activation functions used. For safety  specifications addressing convex polytopes containing infinitely many  points, our Provable Polytope Repair algorithm can find a provably minimal  repair satisfying the specification for DNNs using piecewise-linear  activation functions. The key insight behind both of these algorithms is the  introduction of a Decoupled DNN architecture, which allows us to  reduce provable repair to a linear programming problem.  Our experimental results demonstrate the efficiency and effectiveness of our  Provable Repair algorithms on a variety of challenging tasks.",10.1145/3453483.3454064
pldi,pldi.244,Andres Erbsen|Samuel Gruetter|Joonwon Choi|Clark Wood|Adam Chlipala,,Integration Verification across Software and Hardware for a Simple Embedded System,Formal Verification|Hardware-Software Interface|Proof Assistants|Embedded Systems|RISC-V Instruction-Set Family,"The interfaces between layers of a system are susceptible to bugs if developers of adjacent layers proceed under subtly different assumptions. Formal verification of two layers against the same formal model of the interface between them can be used to shake out these bugs. Doing so for every interface in the system can, in principle, yield unparalleled assurance of the correctness and security of the system as a whole. However, there have been remarkably few efforts that carry out this exercise, and all of them have simplified the task by restricting interactivity of the application, inventing new simplified instruction sets, and using unrealistic input and output mechanisms. We report on the first verification of a realistic embedded system, with its application software, device drivers, compiler, and RISC-V processor represented inside the Coq proof assistant as one mathematical object, with a machine-checked proof of functional correctness. A key challenge is structuring the proof modularly, so that further refinement of the components or expansion of the system can proceed without revisiting the rest of the system.",10.1145/3453483.3454065
pldi,pldi.249,Caleb Stanford|Margus Veanes|Nikolaj Bjørner,,Symbolic Boolean Derivatives for Efficiently Solving Extended Regular Expression Constraints,regex|SMT|regular expression|derivative|automaton|string,"The manipulation of raw string data is ubiquitous in security-critical software, and verification of such software relies on efficiently solving string and regular expression constraints via SMT. However, the typical case of Boolean combinations of regular expression constraints exposes blowup in existing techniques. To address solvability of such constraints, we propose a new theory of derivatives of symbolic extended regular expressions (extended meaning that complement and intersection are incorporated), and show how to apply this theory to obtain more efficient decision procedures. Our implementation of these ideas, built on top of Z3, matches or outperforms state-of-the-art solvers on standard and handwritten benchmarks, showing particular benefits on examples with Boolean combinations.  Our work is the first formalization of derivatives of regular expressions which both handles intersection and complement and works symbolically over an arbitrary character theory. It unifies existing approaches involving derivatives of extended regular expressions, alternating automata and Boolean automata by lifting them to a common symbolic platform. It relies on a parsimonious augmentation of regular expressions: a construct for symbolic conditionals is shown to be sufficient to obtain relevant closure properties for derivatives over extended regular expressions.",10.1145/3453483.3454066
pldi,pldi.255,Hongjin Liang|Xinyu Feng,,Abstraction for Conflict-Free Replicated Data Types,Replicated Data Types|Eventual Consistency|Contextual Refinement|Program Logic|Modular Verification,"Strong eventual consistency (SEC) has been used as a classic notion of correctness for Conflict-Free Replicated Data Types (CRDTs). However, it does not give proper abstractions of functionality, thus is not helpful for modular verification of client programs using CRDTs. We propose a new correctness formulation for CRDTs, called Abstract Converging Consistency (ACC), to specify both data consistency and functional correctness. ACC gives abstract atomic specifications (as an abstraction) to CRDT operations, and establishes consistency between the concrete execution traces and the execution using the abstract atomic operations. The abstraction allows us to verify the CRDT implementation and its client programs separately, resulting in more modular and elegant proofs than monolithic approaches for whole program verification. We give a generic proof method to verify ACC of CRDT implementations, and a rely-guarantee style program logic to verify client programs. Our Abstraction theorem shows that ACC is equivalent to contextual refinement, linking the verification of CRDT implementations and clients together to derive functional correctness of whole programs.",10.1145/3453483.3454067
pldi,pldi.274,Dongpeng Xu|Binbin Liu|Weijie Feng|Jiang Ming|Qilong Zheng|Jing Li|Qiaoyan Yu,,Boosting SMT Solver Performance on Mixed-Bitwise-Arithmetic Expressions,Mixed Boolean Arithmetic|SMT Solvers|Simplification,"Satisfiability Modulo Theories (SMT) solvers have been widely applied in automated software analysis to reason about the queries that encode the essence of program semantics, relieving the heavy burden of manual analysis. Many SMT solving techniques rely on solving Boolean satisfiability problem (SAT), which is an NP-complete problem, so they use heuristic search strategies to seek possible solutions, especially when no known theorem can efficiently reduce the problem. An emerging challenge, named Mixed-Bitwise-Arithmetic (MBA) obfuscation, impedes SMT solving by constructing identity equations with both bitwise operations (and, or, negate) and arithmetic computation (add, minus, multiply). Common math theorems for bitwise or arithmetic computation are inapplicable to simplifying MBA equations, leading to performance bottlenecks in SMT solving.  In this paper, we first scrutinize solvers&#39; performance on solving different categories of MBA expressions: linear, polynomial, and non-polynomial. We observe that solvers can handle simple linear MBA expressions, but facing a severe performance slowdown when solving complex linear and non-linear MBA expressions. The root cause is that complex MBA expressions break the reduction laws for pure arithmetic or bitwise computation. To boost solvers&#39; performance, we propose a semantic-preserving transformation to reduce the mixing degree of bitwise and arithmetic operations. We first calculate a signature vector based on the truth table extracted from an MBA expression, which captures the complete MBA semantics. Next, we generate a simpler MBA expression from the signature vector. Our large-scale evaluation on 3000 complex MBA equations shows that our technique significantly boost modern SMT solvers&#39; performance on solving MBA formulas.",10.1145/3453483.3454068
pldi,pldi.279,Mahmut Taylan Kandemir|Xulong Tang|Hui Zhao|Jihyun Ryoo|Mustafa Karakoy,,Distance-in-Time versus Distance-in-Space,Data locality|Manycore architecture|Code transformation,"Cache behavior is one of the major factors that influence the performance of applications. Most of the existing compiler techniques that target cache memories focus exclusively on reducing data reuse distances in time (DIT). However, current manycore systems employ distributed on-chip caches that are connected using an on-chip network. As a result, a reused data element/block needs to travel over this on-chip network, and the distance to be traveled -- reuse distance in space (DIS) -- can be as influential in dictating application performance as reuse DIT. This paper represents the first attempt at defining a compiler framework that accommodates both DIT and DIS. Specifically, it first classifies data reuses into four groups: G1: (low DIT, low DIS), G2: (high DIT, low DIS), G3: (low DIT, high DIS), and G4: (high DIT, high DIS). Then, observing that reuses in G1 represent the ideal case and there is nothing much to be done in computations in G4, it proposes a ``reuse transfer&#39;&#39; strategy that transfers select reuses between G2 and G3, eventually, transforming each reuse to either G1 or G4. Finally, it evaluates the proposed strategy using a set of 10 multithreaded applications. The collected results reveal that the proposed strategy reduces parallel execution times of the tested applications between 19.3% and 33.3%.",10.1145/3453483.3454069
pldi,pldi.283,Xiaowen Hu|David Zhao|Herbert Jordan|Bernhard Scholz,,An Efficient Interpreter for Datalog by De-specializing Relations,Interpreter Implementation|Datalog Engine|Static Data Structure,"Datalog is becoming increasingly popular as a standard tool for a variety of use cases. Modern Datalog engines can achieve high performance by specializing data structures for relational operations. For example, the Datalog engine Souffl&#39;e achieves high performance with a synthesizer that specializes data structures for relations. However, the synthesizer cannot always be deployed, and a fast interpreter is required.  This work introduces the design and implementation of the Souffl&#39;e Tree Interpreter (STI). Key for the performance of the STI is the support for fast operations on emph{relations}. We obtain fast operations by emph{de-specializing} data structures so that they can work in a virtual execution environment. Our new interpreter achieves a competitive performance slowdown between $1.32$ and $5.67times$ when compared to synthesized code. If compile time overheads of the synthesizer are also considered, the interpreter can be 6.46$times$ faster on average for the first run.",10.1145/3453483.3454070
pldi,pldi.297,Jason R. Koenig|Oded Padon|Alex Aiken,,Adaptive Restarts for Stochastic Synthesis,stochastic synthesis|restart strategies|superoptimization,"We consider the problem of program synthesis from input-output examples via stochastic search. We identify a robust feature of stochastic synthesis: The search often progresses through a series of discrete emph{plateaus}. We observe that the distribution of synthesis times is often heavy-tailed and analyze how these distributions arise. Based on these insights, we present an algorithm that speeds up synthesis by an order of magnitude over the naive algorithm currently used in practice. Our experimental results are obtained in part using a new program synthesis benchmark for superoptimization distilled from widely used production code.",10.1145/3453483.3454071
pldi,pldi.299,John Renner|Alex Sanchez-Stern|Fraser Brown|Sorin Lerner|Deian Stefan,,Scooter & Sidecar: A Domain-Specific Approach to Writing Secure Database Migrations,database migration|verification|secure ORM|domain-specific language,"Web applications often handle large amounts of sensitive user data. Modern secure web frameworks protect this data by (1) using declarative languages to specify security policies alongside database schemas and (2) automatically enforcing these policies at runtime. Unfortunately, these frameworks do not handle the very common situation in which the schemas or the policies need to evolve over time---and updates to schemas and policies need to be performed in a carefully coordinated way. Mistakes during schema or policy migrations can unintentionally leak sensitive data or introduce privilege escalation bugs. In this work, we present a domain-specific language (Scooter) for expressing schema and policy migrations, and an associated SMT-based verifier (Sidecar) which ensures that migrations are secure as the application evolves. We describe the design of Scooter and Sidecar and show that our framework can be used to express realistic schemas, policies, and migrations, without giving up on runtime or verification performance.",10.1145/3453483.3454072
pldi,pldi.305,Bozhen Liu|Peiming Liu|Yanze Li|Chia-Che Tsai|Dilma Da Silva|Jeff Huang,,When Threads Meet Events: Efficient and Precise Static Race Detection with Origins,Origins|Data Race Detection|Pointer Analysis|Static Analysis,"Data races are among the worst bugs in software in that they exhibit non-deterministic symptoms and are notoriously difficult to detect. The problem is exacerbated by interactions between threads and events in real-world applications. We present a novel static analysis technique, O2, to detect data races in large complex multithreaded and event-driven software. O2 is powered by “origins”, an abstraction that unifies threads and events by treating them as entry points of code paths attributed with data pointers. Origins in most cases are inferred automatically, but can also be specified by developers. More importantly, origins provide an efficient way to precisely reason about shared memory and pointer aliases.  Together with several important design choices for race detection, we have implemented O2 for both C/C++ and Java/Android applications and applied it to a wide range of open-source software. O2 has found new races in every single real-world code base we evaluated with, including Linux kernel, Redis, OVS, Memcached, Hadoop, Tomcat, ZooKeeper and Firefox Android. Moreover, O2 scales to millions of lines of code in a few minutes, on average 70x faster (up to 568x) compared to an existing static analysis tool from our prior work, and reduces false positives by 77%. We also compared O2 with the state-of-the-art static race detection tool, RacerD, showing highly promising results. At the time of writing, O2 has revealed more than 40 unique previously unknown races that have been confirmed or fixed by developers.",10.1145/3453483.3454073
pldi,pldi.311,Coşku Acay|Rolph Recto|Joshua Gancher|Andrew C. Myers|Elaine Shi,,"Viaduct: An Extensible, Optimizing Compiler for Secure Distributed Programs",information flow|multiparty computation|zero knowledge,"Modern distributed systems involve interactions between principals with limited trust, so cryptographic mechanisms are needed to protect confidentiality and integrity. At the same time, most developers lack the training to securely employ cryptography. We present Viaduct, a compiler that transforms high-level programs into secure, efficient distributed realizations. Viaduct&#39;s source language allows developers to declaratively specify security policies by annotating their programs with information flow labels. The compiler uses these labels to synthesize distributed programs that use cryptography efficiently while still defending the source-level security policy. The Viaduct approach is general, and can be easily extended with new security mechanisms.  Our implementation of the Viaduct compiler comes with an extensible runtime system that includes plug-in support for multiparty computation, commitments, and zero-knowledge proofs. We have evaluated the system on a set of benchmarks, and the results indicate that our approach is feasible and can use cryptography in efficient, nontrivial ways.",10.1145/3453483.3454074
pldi,pldi.319,Luis Vega|Joseph McMahan|Adrian Sampson|Dan Grossman|Luis Ceze,,Reticle: A Virtual Machine for Programming Modern FPGAs,compilers|FPGAs,"Modern field-programmable gate arrays (FPGAs) have recently powered high-profile efficiency gains in systems from datacenters to embedded devices by offering ensembles of heterogeneous, reconfigurable hardware units. Programming stacks for FPGAs, however, are stuck in the past---they are based on traditional hardware languages, which were appropriate when FPGAs were simple, homogeneous fabrics of basic programmable primitives. We describe Reticle, a new low-level abstraction for FPGA programming that, unlike existing languages, explicitly represents the special-purpose units available on a particular FPGA device. Reticle has two levels: a portable emph{intermediate language} and a target-specific emph{assembly language}. We show how to use a standard textit{instruction selection} approach to lower intermediate programs to assembly programs, which can be both faster and more effective than the complex metaheuristics that existing FPGA toolchains use. We use Reticle to implement linear algebra operators and coroutines and find that Reticle compilation runs up to $100$ times faster than current approaches while producing comparable or better run-time and utilization.",10.1145/3453483.3454075
pldi,pldi.325,Ali Asadi|Krishnendu Chatterjee|Hongfei Fu|Amir Kafshdar Goharshady|Mohammad Mahdavi,,Polynomial Reachability Witnesses via Stellensätze,Reachability|Inductive Reasoning|Stellensätze,"We consider the fundamental problem of reachability analysis over imperative programs with real variables. Previous works that tackle reachability are either unable to handle programs consisting of general loops (e.g. symbolic execution), or lack completeness guarantees (e.g. abstract interpretation), or are not automated (e.g. incorrectness logic). In contrast, we propose a novel approach for reachability analysis that can handle general and complex loops, is complete, and can be entirely automated for a wide family of programs. Through the notion of Inductive Reachability Witnesses (IRWs), our approach extends ideas from both invariant generation and termination to reachability analysis.  We first show that our IRW-based approach is sound and complete for reachability analysis of imperative programs. Then, we focus on linear and polynomial programs and develop automated methods for synthesizing linear and polynomial IRWs. In the linear case, we follow the well-known approaches using Farkas&#39; Lemma. Our main contribution is in the polynomial case, where we present a push-button semi-complete algorithm. We achieve this using a novel combination of classical theorems in real algebraic geometry, such as Putinar&#39;s Positivstellensatz and Hilbert&#39;s Strong Nullstellensatz. Finally, our experimental results show we can prove complex reachability objectives over various benchmarks that were beyond the reach of previous methods.",10.1145/3453483.3454076
pldi,pldi.332,Di Wang|Jan Hoffmann|Thomas Reps,,Sound Probabilistic Inference via Guide Types,Probabilistic programming|Bayesian inference|type systems|coroutines,"Probabilistic programming languages aim to describe and automate Bayesian modeling and inference. Modern languages support emph{programmable inference}, which allows users to customize inference algorithms by incorporating emph{guide} programs to improve inference performance. For Bayesian inference to be sound, guide programs must be compatible with model programs. One pervasive but challenging condition for model-guide compatibility is emph{absolute continuity}, which requires that the model and guide programs define probability distributions with the same support.  This paper presents a new probabilistic programming language that emph{guarantees} absolute continuity, and features general programming constructs, such as branching and recursion. Model and guide programs are implemented as emph{coroutines} that communicate with each other to synchronize the set of random variables they sample during their execution. Novel emph{guide types} describe and enforce communication protocols between coroutines. If the model and guide are well-typed using the same protocol, then they are guaranteed to enjoy absolute continuity. An efficient algorithm infers guide types from code so that users do not have to specify the types. The new programming language is evaluated with an implementation that includes the type-inference algorithm and a prototype compiler that targets Pyro. Experiments show that our language is capable of expressing a variety of probabilistic models with nontrivial control flow and recursion, and that the coroutine-based computation does not introduce significant overhead in actual Bayesian inference.",10.1145/3453483.3454077
pldi,pldi.337,Feras A. Saad|Martin C. Rinard|Vikash K. Mansinghka,,SPPL: Probabilistic Programming with Fast Exact Symbolic Inference,probabilistic programming|symbolic execution,"We present the Sum-Product Probabilistic Language ({scshape SPPL}), a new probabilistic programming language that automatically delivers exact solutions to a broad range of probabilistic inference queries. {scshape SPPL} translates probabilistic programs into {em sum-product expressions}, a new symbolic representation and associated semantic domain that extends standard sum-product networks to support mixed-type distributions, numeric transformations, logical formulas, and pointwise and set-valued constraints. We formalize {scshape SPPL} via a novel translation strategy from probabilistic programs to sum-product expressions and give sound exact algorithms for conditioning on and computing probabilities of events. {scshape SPPL} imposes a collection of restrictions on probabilistic programs to ensure they can be translated into sum-product expressions, which allow the system to leverage new techniques for improving the scalability of translation and inference by automatically exploiting probabilistic structure. We implement a prototype of {scshape SPPL} with a modular architecture and evaluate it on benchmarks the system targets, showing that it obtains up to 3500x speedups over state-of-the-art symbolic systems on tasks such as verifying the fairness of decision tree classifiers, smoothing hidden Markov models, conditioning transformed random variables, and computing rare event probabilities.",10.1145/3453483.3454078
pldi,pldi.343,Akimasa Morihata|Shigeyuki Sato,,Reverse Engineering for Reduction Parallelization via Semiring Polynomials,parallelization|reduction loop|reverse engineering|semiring|program synthesis,"Parallel reduction, which summarizes a given dataset, e.g., the total, average, and maximum, plays a crucial role in parallel programming. This paper presents a new approach, reverse engineering, to automatically discovering nontrivial parallel reductions in sequential programs. The body of the sequential reduction loop is regarded as a black box, and its input-output behaviors are sampled. If the behaviors correspond to a set of linear polynomials over a semiring, a divide-and-conquer parallel reduction is generated. Auxiliary reverse-engineering methods enable a long and nested loop body to be decomposed, which makes our parallelization scheme applicable to various types of reduction loops. This approach is not only simple and efficient but also agnostic to the details of the input program. Its potential is demonstrated through several use case scenarios. A proof-of-concept implementation successfully inferred linear polynomials for nearly all of the 74 benchmarks exhaustively collected from the literature. These characteristics and experimental results demonstrate the promise of the proposed approach, despite its inherent unsoundness.",10.1145/3453483.3454079
pldi,pldi.355,Kevin Ellis|Catherine Wong|Maxwell Nye|Mathias Sablé-Meyer|Lucas Morales|Luke Hewitt|Luc Cary|Armando Solar-Lezama|Joshua B. Tenenbaum,,DreamCoder: Bootstrapping Inductive Program Synthesis with Wake-Sleep Library Learning,synthesis|neural|learning|refactoring,"We present a system for inductive program synthesis called DreamCoder, which inputs a corpus of synthesis problems each specified by one or a few examples, and automatically derives a library of program components and a neural search policy that can be used to efficiently solve other similar synthesis problems. The library and search policy bootstrap each other iteratively through a variant of &quot;wake-sleep&quot; approximate Bayesian learning. A new refactoring algorithm based on E-graph matching identifies common sub-components across synthesized programs, building a progressively deepening library of abstractions capturing the structure of the input domain. We evaluate on eight domains including classic program synthesis areas and AI tasks such as planning, inverse graphics, and equation discovery. We show that jointly learning the library and neural search policy leads to solving more problems, and solving them more quickly.",10.1145/3453483.3454080
pldi,pldi.363,Milijana Surbatovich|Limin Jia|Brandon Lucia,,Automatically Enforcing Fresh and Consistent Inputs in Intermittent Systems,intermittent computing|energy harvesting|timeliness,"Intermittently powered energy-harvesting devices enable new applications in inaccessible environments. Program executions must be robust to unpredictable power failures, introducing new challenges in programmability and correctness. One hard problem is that input operations have implicit constraints, embedded in the behavior of continuously powered executions, on when input values can be collected and used. This paper aims to develop a formal framework for enforcing these constraints. We identify two key properties---freshness (i.e., uses of inputs must satisfy the same time constraints as in continuous executions) and temporal consistency (i.e., the collection of a set of inputs must satisfy the same time constraints as in continuous executions). We formalize these properties and show that they can be enforced using atomic regions. We develop Ocelot, an LLVM-based analysis and transformation tool targeting Rust, to enforce these properties automatically. Ocelot provides the programmer with annotations to express these constraints and infers atomic region placement in a program to satisfy them. We then formalize Ocelot&#39;s design and show that Ocelot generates correct programs with little performance cost or code changes.",10.1145/3453483.3454081
